county,count
Anne Arundel,372
Baltimore City,252
Prince George's,196
Baltimore,173
Frederick,142
Montgomery,96
Howard,90
Allegany,72
Dorchester,68
Cecil,65
Washington,55
Carroll,46
Harford,45
Charles,29
St. Mary's,27
Worcester,25
Wicomico,18
Caroline,12
Talbot,10
Garrett,10
Somerset,9
Calvert,4
Kent,3
Outside of Maryland,3
Queen Anne's,2
